"X1","id","timestamp","full_sq","life_sq","floor","max_floor","num_room","kitch_sq","product_type","raion_popul","green_zone_part","indust_part","children_preschool","preschool_quota","children_school","hospital_beds_raion","healthcare_centers_raion","university_top_20_raion","shopping_centers_raion","office_raion","railroad_terminal_raion","big_market_raion","full_all","X0_6_all","X7_14_all","X0_17_all","X16_29_all","X0_13_all","build_count_block","build_count_wood","build_count_frame","build_count_brick","build_count_before_1920","build_count_1921_1945","build_count_1946_1970","build_count_1971_1995","build_count_after_1995","metro_min_avto","metro_km_avto","metro_min_walk","metro_km_walk","school_km","park_km","green_zone_km","industrial_km","railroad_station_walk_km","railroad_station_walk_min","ID_railroad_station_walk","railroad_station_avto_km","railroad_station_avto_min","public_transport_station_km","public_trans_station_time_walk","kremlin_km","big_road1_km","big_road2_km","railroad_km","bus_terminal_avto_km","big_market_km","market_shop_km","fitness_km","swim_pool_km","ice_rink_km","stadium_km","basketball_km","public_healthcare_km","university_km","workplaces_km","shopping_centers_km","office_km","big_church_km","price_doc"
1328,9605,41488,64,41,0.526589034139044,8,3,1.03679065753495,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,1.893172846,0.790427942,3.889320884,0.324110074,0.208162591,0.657407392,0.075306547,0.545078221,0.822297629,9.86757155,113,0.822297629,1.933009955,0.134754983,1.617059795,2.836615074,1.573084809,2.692684785,0.047829365,0.946744589,8.414210873,1.196137184,0.855473114,2.868291832,3.595224415,4.281648343,0.510978147,1.552624313,1.416062358,0.363355193,0.319501838,0.210284587,0.162591925,3e+06
1330,11540,41571,84,62,0.959134838920824,6,4,1.03679065753495,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,1.121195971,0.719679,6.60390071,0.550325059,0.20395802,0.766334973,0.128806308,0.380327827,0.582194746,6.986336952,113,0.751548687,1.16103308,0.037535772,0.450429266,3.061217085,1.345804591,2.588993115,0.114939638,0.560371279,8.395994079,1.125388242,0.741254834,2.215923884,3.577007621,3.629280395,0.728154225,0.900256365,0.76369441,0.20395802,0.17072055,0.17072055,0.224200849,15200000
1331,11975,41587,48,33,1.162283113884,8,3,1.03349300722977,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,0.854557846,0.448366879,3.64362106,0.303635088,0.474884285,0.648586049,0.057300489,0.950420743,1.570296717,18.8435606,80,1.884919578,2.548048901,0.118386031,1.420632367,2.240589396,2.225737346,2.226490446,1.063781199,1.735897422,8.350308794,0.407062569,0.469105077,2.285002958,3.034611739,5.145959218,0.817230482,1.79584907,0.360721622,1.051315986,0.322471636,0.236663713,0.276286188,1.5e+07
1332,12303,41597,55,35,0.869741686191944,8,2,1.03679065753495,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,2.031782186,1.794543154,14.93130163,1.244275136,0.314919389,1.98077094,1.196250628,0.510335874,0.193202573,2.31843088,69,0.193202573,0.241503218,0.305237892,3.662854699,4.769539171,0.172655265,3.284903052,0.016826702,2.540963005,12.02696731,2.277057714,0.514612368,0.792303244,2.930732924,2.588439875,0.390367932,1.691526234,1.212143722,0.829793604,0.64259315,0.378919247,0.52205254,9850000
1333,12814,41612,32,16,0.526589034139044,15,1,1.03518246953553,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,1.678190356,1.400015318,10.05177648,0.83764804,0.673468701,1.173395412,0.902048663,0.080919821,1.58067305,18.9680766,97,1.434519966,2.363346488,0.141257493,1.695089912,4.176635343,0.308367597,1.755767533,0.265889221,2.403500665,12.66362035,1.445581442,0.423083691,1.779805082,2.716564947,4.048770933,0.529227777,1.072068428,2.167515149,0.913047398,0.431781408,0.226803607,0.386772149,5950000
1334,13666,41652,74,47,0.959134838920824,5,3,1.03756761440495,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,0.514530482,0.317990973,3.815891674,0.317990973,0.463826687,0.674396339,0.033982064,1.054478179,1.598196152,19.17835383,80,1.912819013,2.467667657,0.12126779,1.45521348,2.149606437,2.267551983,2.270479399,1.168517649,1.763796857,8.378208229,0.276686662,0.426405058,2.27373288,3.023341661,5.051919708,0.872211861,1.784578991,0.349451543,1.150099521,0.249333319,0.131981063,0.175877964,1.8e+07
1335,14140,41666,73,43,0.869741686191944,9,3,1.03679065753495,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,1.081231091,0.565733033,6.989374009,0.582447834,0.183823568,1.593113834,0.932509693,0.323884636,1.386295032,16.63554039,97,1.223427147,2.212141629,0.093604774,1.123257283,4.539893372,0.119180049,2.433159193,0.323884636,2.257428845,11.89984719,1.234488623,0.29264271,0.720689379,1.900971599,3.284997778,0.788627719,0.925996608,2.021443329,1.416200036,0.42647177,0.281814172,0.168530505,1.6e+07
1336,14363,41669,64,40,0.741276311375015,5,3,1.03599601652093,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,1.258634738,0.741685527,9.003414669,0.750284556,0.110135805,1.822153019,0.918995603,0.395730226,1.554131754,18.64958105,97,1.399379641,2.389545276,0.143807164,1.725685962,4.612496572,0.182853118,2.685155033,0.217394722,2.273639666,11.87013052,1.360948587,0.110135805,0.972889755,1.387036417,3.255281103,0.941291916,0.816596295,2.03765415,1.30492275,0.609171733,0.3029326,0.406733552,11300000
1337,14496,41673,67,46,0.959134838920824,7,3,1.03599601652093,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,1.001483817,0.346448704,2.608509639,0.217375803,0.593505429,1.280218932,0.49567785,0.084143589,0.118129118,1.417549418,97,0.247202018,0.877425464,0.025642305,0.307707664,3.606725192,0.79474897,2.267075931,0.150065429,1.376625973,8.935140051,0.258263495,0.616940325,2.669746416,3.355400762,4.739426942,0.743067127,1.747125614,1.845943742,0.593505429,0.130328255,0.532812986,0.596659765,1.3e+07
1338,14602,41675,37,21,0.741276311375015,6,2,1.03599601652093,0,47245,0.011047989,0.246623602,2287,5.06665523851652,2940,0,3,0,6,0.46057793515969,1,0,55590,2287,2940,6441,11895,4872,25,1,0,177,69,46,63,28,25,1.121195971,0.719679,6.60390071,0.550325059,0.20395802,0.766334973,0.128806308,0.380327827,0.582194746,6.986336952,113,0.751548687,1.16103308,0.037535772,0.450429266,3.061217085,1.345804591,2.588993115,0.114939638,0.560371279,8.395994079,1.125388242,0.741254834,2.215923884,3.577007621,3.629280395,0.728154225,0.900256365,0.76369441,0.20395802,0.17072055,0.17072055,0.224200849,8700000
